seascape;village;years_village;age;education_level;religion;hh_head;gender;social_network;group_hh_size.total;primary_livelihood;fishing_primary_livelihood;num_livelihoods_hh;trust_community;trust_village_leaders;trust_mgmt;trust_NGOs;trust_government;mgmt_community.benefits_domain_1;mgmt_community.benefits_category_1;mgmt_community.costs_domain_1;mgmt_community.costs_category_1;mgmt_community.impact;mgmt_community.effect_yn_2;mgmt_support;participation;fairness_decision_making;conflict_frequency;life_satisfaction_2;life_satisfaction_causes_1_domain;life_satisfaction_causes_1_category;life_satisfaction_causes_2_domain;life_satisfaction_causes_2_category;life_satisfaction_causes_3_domain;life_satisfaction_causes_3_category;type_mgmt
Northeast;Maintimbato;20;30;primary_completed;Tsy mivavaka;yes;male;1;5;cash_crops;no;2;about_half_half;about_half_half;distrust_more_people;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;unfair;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;2;21;some_middle_school;FJKM;yes;male;0;3;cash_crops;no;2;distrust_more_people;about_half_half;about_half_half;about_half_half;not_at_all;NA;NA;NA;NA;NA;NA;supportive;passive;fair;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;76;76;primary_completed;Tsy mivavaka;yes;male;0;5;cash_crops;no;1;about_half_half;about_half_half;about_half_half;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;neutral;not_involved;neither;no_conflict;worse;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;15;32;primary_completed;Catholic;yes;male;0;5;cash_crops;no;1;about_half_half;about_half_half;about_half_half;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;neutral;passive;neither;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;30;53;NA;Tsy mivavaka;yes;male;0;5;cash_crops;no;2;about_half_half;distrust_more_people;trust_more_people;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;neutral;active;neither;no_conflict;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;30;53;NA;Tsy mivavaka;yes;male;0;5;cash_crops;no;2;about_half_half;distrust_more_people;trust_more_people;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;neutral;active;neither;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Malotrandro;25;25;some_secondary;FJKM;no;female;1;11;cash_crops;no;2;NA;NA;trust_more_people;NA;NA;NA;NA;NA;NA;NA;NA;supportive;active;fair;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Malotrandro;25;25;some_secondary;FJKM;no;female;1;11;cash_crops;no;2;NA;NA;trust_more_people;NA;NA;NA;NA;NA;NA;NA;NA;supportive;active;fair;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;37;37;primary_completed;adventist;yes;NA;1;2;cash_crops;no;1;trust_more_people;trust_more_people;about_half_half;trust_more_people;trust_more_people;NA;NA;NA;NA;NA;NA;supportive;not_involved;fair;no_conflict;better;economy;material wealth;health;food security;health;food security;lmma
Northeast;Rantohely Secteur;36;36;NA;Tsy mivavaka;no;female;0;4;cash_crops;no;2;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;neither;don_t_know;better;economy;economic wealth;economy;material wealth;NA;NA;lmma
Northeast;Rantohely Secteur;36;36;NA;Tsy mivavaka;no;female;0;4;cash_crops;no;2;about_half_half;trust_more_people;about_half_half;trust_more_people;distrust_more_people;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;neither;don_t_know;better;economy;economic wealth;economy;material wealth;NA;NA;lmma
Northeast;Rantohely Secteur;50;73;some_primary;Tsy mivavaka;yes;male;0;4;cash_crops;no;2;not_at_all;about_half_half;not_at_all;about_half_half;distrust_more_people;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;unfair;no_conflict;worse;economy;economic wealth;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;25;25;some_secondary;Catholic;yes;male;2;3;cash_crops;no;3;NA;NA;trust_more_people;NA;NA;NA;NA;NA;NA;NA;NA;supportive;passive;fair;no_conflict;better;health;food security;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;21;21;NA;Tsy mivavaka;yes;male;0;5;cash_crops;no;2;trust_more_people;distrust_more_people;trust_more_people;about_half_half;distrust_more_people;NA;NA;NA;NA;NA;NA;supportive;passive;fair;don_t_know;better;health;food security;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;34;67;primary_completed;Catholic;yes;male;0;5;cash_crops;no;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;neutral;active;fair;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;18;22;NA;Tsy mivavaka;yes;male;1;4;cash_crops;no;2;about_half_half;about_half_half;about_half_half;trust_more_people;trust_more_people;NA;NA;NA;NA;NA;NA;supportive;active;fair;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;25;25;some_secondary;Catholic;yes;male;2;3;cash_crops;no;2;trust_more_people;distrust_more_people;trust_more_people;trust_more_people;not_at_all;NA;NA;NA;NA;NA;NA;supportive;passive;fair;NA;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;12;55;NA;Tsy mivavaka;yes;male;0;4;cash_crops;no;3;about_half_half;about_half_half;about_half_half;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;very_unsupportive;not_involved;don_t_know;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;7;28;primary_completed;FJKM;yes;male;1;3;cash_crops;no;2;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;18;22;NA;Tsy mivavaka;yes;male;1;4;cash_crops;no;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;46;46;some_middle_school;Tsy mivavaka;yes;male;2;4;cash_crops;no;3;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;6;29;primary_completed;none;no;female;1;5;cash_crops;no;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;6;29;some_primary;NA;no;female;1;5;cash_crops;no;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;worse;social;social capital and cohesion;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;37;37;primary_completed;adventist;yes;NA;1;2;cash_crops;no;1;trust_more_people;trust_more_people;about_half_half;trust_more_people;trust_more_people;NA;NA;NA;NA;NA;NA;supportive;not_involved;fair;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;36;36;NA;Tsy mivavaka;no;female;0;4;cash_crops;no;2;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;neither;don_t_know;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;36;36;NA;Tsy mivavaka;no;female;0;4;cash_crops;no;2;about_half_half;trust_more_people;about_half_half;trust_more_people;distrust_more_people;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;neither;don_t_know;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;50;73;some_primary;Tsy mivavaka;yes;male;0;4;cash_crops;no;2;not_at_all;about_half_half;not_at_all;about_half_half;distrust_more_people;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;unfair;no_conflict;worse;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;25;25;some_secondary;Catholic;yes;male;2;3;cash_crops;no;3;NA;NA;trust_more_people;NA;NA;NA;NA;NA;NA;NA;NA;supportive;passive;fair;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;21;21;NA;Tsy mivavaka;yes;male;0;5;cash_crops;no;2;trust_more_people;distrust_more_people;trust_more_people;about_half_half;distrust_more_people;NA;NA;NA;NA;NA;NA;supportive;passive;fair;don_t_know;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;34;67;primary_completed;Catholic;yes;male;0;5;cash_crops;no;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;neutral;active;fair;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;18;22;NA;Tsy mivavaka;yes;male;1;4;cash_crops;no;2;about_half_half;about_half_half;about_half_half;trust_more_people;trust_more_people;NA;NA;NA;NA;NA;NA;supportive;active;fair;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;25;25;some_secondary;Catholic;yes;male;2;3;cash_crops;no;2;trust_more_people;distrust_more_people;trust_more_people;trust_more_people;not_at_all;NA;NA;NA;NA;NA;NA;supportive;passive;fair;NA;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;12;55;NA;Tsy mivavaka;yes;male;0;4;cash_crops;no;3;about_half_half;about_half_half;about_half_half;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;very_unsupportive;not_involved;don_t_know;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;7;28;primary_completed;FJKM;yes;male;1;3;cash_crops;no;2;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;18;22;NA;Tsy mivavaka;yes;male;1;4;cash_crops;no;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;46;46;some_middle_school;Tsy mivavaka;yes;male;2;4;cash_crops;no;3;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;6;29;primary_completed;none;no;female;1;5;cash_crops;no;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;6;29;some_primary;NA;no;female;1;5;cash_crops;no;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;worse;NA;NA;NA;NA;NA;NA;lmma
Northeast;Tanambao;20;40;some_middle_school;none;no;female;2;4;cash_crops;no;3;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;supportive;active;unfair;more_than_once_year;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Tanambao;20;40;some_middle_school;none;no;female;2;4;cash_crops;no;3;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;supportive;active;unfair;more_than_once_year;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;20;20;some_primary;NA;no;female;0;6;charpantier;no;3;about_half_half;trust_more_people;trust_all;trust_more_people;trust_more_people;NA;NA;NA;NA;NA;NA;supportive;not_involved;NA;no_conflict;better;health;food security;economy;employment;NA;NA;lmma
Northeast;Imorona centre;20;20;some_primary;NA;no;female;0;6;charpantier;no;3;about_half_half;trust_more_people;trust_all;trust_more_people;trust_more_people;NA;NA;NA;NA;NA;NA;supportive;not_involved;NA;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;19;35;some_primary;FJKM;no;female;1;5;commissioNAire;no;2;trust_more_people;trust_all;trust_more_people;trust_more_people;trust_all;NA;NA;NA;NA;NA;NA;supportive;not_involved;fair;no_conflict;better;economy;material wealth;economy;livelihoods;social;social capital and cohesion;lmma
Northeast;Rantohely Secteur;19;35;some_primary;FJKM;no;female;1;5;commissioNAire;no;2;trust_more_people;trust_all;trust_more_people;trust_more_people;trust_all;NA;NA;NA;NA;NA;NA;supportive;not_involved;fair;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;20;30;secondary_completed;Catholic;NA;male;2;5;commissionNAire;no;2;about_half_half;trust_all;about_half_half;trust_more_people;trust_all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;20;30;secondary_completed;Catholic;NA;male;2;5;commissionNAire;no;2;about_half_half;trust_all;about_half_half;trust_more_people;trust_all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;6;25;some_middle_school;Catholic;no;female;1;3;enseigngant vacataire;no;3;trust_more_people;trust_more_people;trust_all;trust_more_people;trust_all;NA;NA;NA;NA;NA;NA;NA;not_involved;don_t_know;don_t_know;better;economy;material wealth;economy;material wealth;NA;NA;lmma
Northeast;Maintimbato;6;25;some_middle_school;Catholic;no;female;1;3;enseigngant vacataire;no;3;trust_more_people;trust_more_people;trust_all;trust_more_people;trust_all;NA;NA;NA;NA;NA;NA;NA;not_involved;don_t_know;don_t_know;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;17;35;some_primary;FJKM;no;female;2;8;farming;no;2;NA;NA;about_half_half;NA;NA;NA;NA;economy;economic wealth;NA;NA;supportive;passive;unfair;more_than_once_year;better;social;education and knowledge;economy;material wealth;economy;economic wealth;lmma
Northeast;Malotrandro;12;41;some_primary;Catholic;no;female;1;8;farming;no;2;NA;NA;trust_more_people;NA;NA;health;food security;health;food security;neutral;yes;supportive;not_involved;fair;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;17;35;some_primary;FJKM;no;female;2;8;farming;no;2;NA;NA;about_half_half;NA;NA;NA;NA;health;food security;NA;NA;supportive;passive;unfair;more_than_once_year;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;20;20;some_middle_school;FJKM;no;female;0;7;farming;no;2;about_half_half;distrust_more_people;about_half_half;about_half_half;trust_more_people;health;food security;governance;local institutions;good;yes;supportive;not_involved;fair;don_t_know;better;economy;material wealth;economy;economic wealth;social;education and knowledge;lmma
Northeast;Imorona centre;57;57;some_middle_school;none;yes;male;2;4;farming;no;3;NA;NA;NA;NA;NA;economy;economic wealth;NA;NA;neutral;yes;supportive;active;fair;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;20;20;some_primary;FJKM;yes;female;0;3;farming;no;3;about_half_half;about_half_half;about_half_half;trust_more_people;trust_more_people;economy;economic wealth;NA;NA;good;yes;supportive;passive;fair;don_t_know;better;economy;economic wealth;health;emotional health;economic;economic wealth;lmma
Northeast;Imorona centre;57;57;some_middle_school;none;yes;male;2;4;farming;no;3;NA;NA;NA;NA;NA;health;food security;NA;NA;neutral;yes;supportive;active;fair;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;30;30;some_middle_school;Catholic;yes;male;1;5;farming;no;3;trust_more_people;trust_more_people;distrust_more_people;trust_more_people;not_at_all;health;food security;NA;NA;good;yes;supportive;not_involved;fair;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Rantohely Secteur;30;30;some_middle_school;Catholic;yes;male;1;5;farming;no;3;trust_more_people;trust_more_people;distrust_more_people;trust_more_people;not_at_all;health;food security;NA;NA;good;yes;supportive;not_involved;fair;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;2;26;some_primary;Tsy mivavaka;no;female;2;5;farming;no;2;NA;NA;about_half_half;NA;NA;governance;local institutions;NA;NA;good;yes;supportive;passive;fair;don_t_know;better;health;food security;health;food security;social;education and knowledge;lmma
Northeast;Rantohely Secteur;2;22;some_middle_school;Catholic;yes;male;1;4;farming;no;1;trust_more_people;trust_all;trust_all;trust_more_people;about_half_half;governance;local institutions;NA;NA;good;yes;supportive;NA;fair;no_conflict;better;social;social capital and cohesion;economy;material wealth;economy;material wealth;lmma
Northeast;Imorona centre;21;21;some_secondary;Catholic;yes;male;0;3;farming;no;2;NA;NA;trust_more_people;NA;NA;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;unfair;no_conflict;better;economy;economic wealth;economy;material wealth;economy;material wealth;lmma
Northeast;Imorona centre;18;18;some_middle_school;FJKM;no;female;1;5;farming;no;2;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;supportive;not_involved;don_t_know;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;1;36;some_middle_school;FJKM;NA;female;2;4;farming;no;2;NA;NA;distrust_more_people;NA;NA;NA;NA;NA;NA;NA;NA;supportive;passive;don_t_know;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;28;28;some_middle_school;FJKM;yes;female;1;3;farming;no;3;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;supportive;passive;unfair;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;25;25;some_middle_school;Catholic;yes;male;1;3;farming;no;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unsupportive;passive;unfair;don_t_know;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;11;28;some_middle_school;FJKM;yes;male;1;3;farming;no;3;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;24;24;some_middle_school;Catholic;no;female;1;4;farming;no;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;1;26;primary_completed;Catholic;no;female;1;3;farming;no;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;26;26;some_primary;none;no;female;NA;4;farming;no;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;4;42;some_middle_school;none;yes;male;0;4;farming;no;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;42;42;some_primary;none;yes;male;2;4;farming;no;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;supportive;active;fair;no_conflict;better;social;education and knowledge;economy;material wealth;economy;economic wealth;lmma
Northeast;Imorona centre;21;21;some_secondary;Catholic;yes;male;0;3;farming;no;2;NA;NA;trust_more_people;NA;NA;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;unfair;no_conflict;better;NA;NA;NA;NA;health;food security;lmma
Northeast;Imorona centre;18;18;some_middle_school;FJKM;no;female;1;5;farming;no;2;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;supportive;not_involved;don_t_know;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;1;36;some_middle_school;FJKM;NA;female;2;4;farming;no;2;NA;NA;distrust_more_people;NA;NA;NA;NA;NA;NA;NA;NA;supportive;passive;don_t_know;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;28;28;some_middle_school;FJKM;yes;female;1;3;farming;no;3;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;supportive;passive;unfair;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;25;25;some_middle_school;Catholic;yes;male;1;3;farming;no;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unsupportive;passive;unfair;don_t_know;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;11;28;some_middle_school;FJKM;yes;male;1;3;farming;no;3;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;24;24;some_middle_school;Catholic;no;female;1;4;farming;no;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;1;26;primary_completed;Catholic;no;female;1;3;farming;no;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;26;26;some_primary;none;no;female;NA;4;farming;no;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;4;42;some_middle_school;none;yes;male;0;4;farming;no;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;42;42;some_primary;none;yes;male;2;4;farming;no;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;supportive;active;fair;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;15;32;some_middle_school;Catholic;no;male;1;5;farming;no;1;about_half_half;trust_more_people;about_half_half;about_half_half;about_half_half;NA;NA;NA;NA;NA;no;supportive;passive;fair;no_conflict;better;economy;material wealth;NA;NA;NA;NA;lmma
Northeast;Maintimbato;15;32;some_middle_school;Catholic;no;female;1;5;farming;no;1;about_half_half;trust_more_people;about_half_half;about_half_half;about_half_half;NA;NA;NA;NA;NA;no;supportive;passive;fair;no_conflict;better;economy;material wealth;NA;NA;NA;NA;lmma
Northeast;Maintimbato;3;56;some_middle_school;FJKM;yes;male;0;3;farming;no;2;about_half_half;about_half_half;distrust_more_people;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;supportive;passive;don_t_know;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;4;23;some_middle_school;Tsy mivavaka;yes;male;1;3;farming;no;2;about_half_half;trust_more_people;trust_more_people;trust_more_people;about_half_half;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;unfair;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;60;60;some_middle_school;Catholic;no;female;2;2;farming;no;2;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;don_t_know;don_t_know;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;21;45;some_primary;Catholic;no;female;2;5;farming;no;3;NA;NA;trust_more_people;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;55;55;some_primary;adventist;no;female;2;3;farming;no;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;34;34;primary_completed;Catholic;yes;male;1;6;farming;no;3;about_half_half;about_half_half;trust_more_people;trust_more_people;distrust_more_people;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;28;28;some_middle_school;none;yes;male;1;3;farming;no;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;15;32;some_middle_school;Catholic;no;male;1;5;farming;no;1;about_half_half;trust_more_people;about_half_half;about_half_half;about_half_half;NA;NA;NA;NA;NA;no;supportive;passive;fair;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;15;32;some_middle_school;Catholic;no;female;1;5;farming;no;1;about_half_half;trust_more_people;about_half_half;about_half_half;about_half_half;NA;NA;NA;NA;NA;no;supportive;passive;fair;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
