respondent_id,country,province,district,village,survey_date,interviewer_name,ke_survey_number,group_mgmt_personal.effect_yn_personal,group_mgmt_personal.benefits_personal,group_mgmt_personal.costs_personal,group_mgmt_personal.impact_personal,group_mgmt_community.effect_yn_community,group_mgmt_community.benefits_community,group_mgmt_community.costs_community,group_mgmt_community.impact_community,mgmt_who_most_positively,mgmt_who_most_negatively
37,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Maureen Otieno,mckib022,yes,there is good benefits,if the management is bad there will be less income,neutral,yes,it helps in protecting our fishing grounds from foreign fishermen from polluting and wasting our marine resources,the management not keen in checking foreign fishermen and their worst gears,neutral,fish dealers because the get a lot of fish from the fishermen and getting higher income,if the management is in its worst position then the fishermen are the getting affected
2152,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Jesse Kosgei,mckib023,no,fishermen have brought us business through their activities,none,very_good,no,getting higher income from the beach,hakuna,very_good,the whole village,no one
1183,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Jesse Kosgei,mckib024,yes,taking care of the environment,none,good,no,NA,NA,NA,everyone in the community,none
1525,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Jesse Kosgei,mckib025,no,NA,NA,NA,yes,increase in fish and restricting gears which devastate the beach,none,good,those who benefit are the ones using the resources,none
190,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Jesse Kosgei,mckib026,no,NA,NA,NA,no,NA,NA,NA,all the villagers,none
40,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Jesse Kosgei,mckib027,no,NA,NA,NA,yes,we have been given support and we have a market,being harassed if you dont have a license,good,fishermen because they are using the resources,conflicts of gear usage
270,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Jesse Kosgei,mckib029,yes,"there is a market for fish and sea weeds, getting help from more organisations and building houses",none,very_good,yes,there is an increase in income and survey are done,none,very_good,"fishermen have got a donation of a market building,boats and fishing gears",none
1425,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Jesse Kosgei,mckib028,no,NA,NA,NA,no,NA,NA,NA,the whole community is affected positively,those who break the law
1555,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Jesse Kosgei,mckib030,yes,there is a lot of fish,none,bad,yes,getting a lot of fish and enough money,hiding and breaking the laws,good,the fishermen get a lot of income,those who dont fish dont use the resource
695,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Jesse Kosgei,mckib031,yes,getting income from the sea,none,good,no,people dont pollute the sea cause its their major source of economy,there has been an increase in the number of fishermen,very_good,the fisherman is the one getting a lot of benefits cause he uses the resources more than any other person,its the same fisher man who affected negatively cause there are middle men who don t pay them well
752,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Jesse Kosgei,mckib032,no,NA,NA,NA,no,NA,NA,NA,the whole community,none
811,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Jesse Kosgei,mckib033,yes,the availability of fingerlings which bring other fishes,none,good,yes,increase in income,fish inadequacy,good,they are all equally,they are all equally
616,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Jesse Kosgei,mckib034,no,NA,NA,NA,no,NA,NA,NA,Bmu members are the ones getting more benefits,those who break the law
204,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Jesse Kosgei,mckib035,yes,we get benefits and we have a near market,there is a lot of increase in the number of fishermen and safety measures are not implemented,very_good,yes,"building of a market, getting fishing vessels and increase of fish",the management leaders are not responsible lack of proper planning there is no enough market and fluctuation the prices,neutral,management leaders are involved in all the activities,the subjects of the managements are the ones getting negatively affected because most things dont reach to them
65,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Jesse kosgei,mckib036,yes,fishing without problems and getting a lot of income in terms of cash,none,good,yes,the closures has had an increase in the number of fish and there is a lot of income,there are always conflicts over the closure boundaries,good,none,fishers are affected by getting hurt by sea creatures
303,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Jesse Kosgei,mckib037,no,NA,NA,NA,yes,none,destructive fishing is the core problem,bad,those who do not adhere to rules get a lot of fish,those who adhere to rules get less catch
1547,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Maureen Shikami,mckib038,no,NA,NA,NA,no,NA,NA,NA,none,none
1113,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Maureen Shikami,mckib039,no,if the catch increase there will be an uplift in the level of life,if there is no catch then life would be hard,good,NA,there is scarcity of fish because of the rules,they cant come even if there is a problem even after they been informed,good,respondent-if the number of fish increase then life will be good,respondent-there are a lot of tight rules
58,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Maureen Shikami,mckib040,yes,there is more fish increase in the closures,none,good,yes,putting up closures and rules which are not tight,none,good,we have been given boats,a lot of tight and tough rules
1439,Kenya,Coast,Lungalunga,Kibuyuni,2017-02-07,Jesse Kosgei,mckib041,yes,getting support in terms of fishing gears and good market for the catch,lack of a bigger market and storage facilities tends to let tonnes of fish get wasted,very_good,yes,getting good prices for the fish and getting help,if the fish become more the market prices also goes down and fish handling is poor,very_good,fisher get a lot of fish thus larger income,the destructive fishermen to be prosecuted
819,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Maureen Shikami,mckib042,yes,every one with access to the donated gears can use them,a lot of rules and they are not adhered to,good,yes,they introduced good ring nets with big holes and also they have given out boats,if you take complains they don't follow up and the given boats are used by selected few,neutral,in the fore front of the managerial are the ones positively affected,the fishermen who have been set with a lot of rules
485,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Maureen Shikami,mckib043,yes,rules to be adhered,taxation by bmu and the wherebouts of the finance is a riddle,neutral,yes,the rules are helpful in curbing the law breakers,the rules are tough,neutral,work should be done with plan,a lot of people are complaining meaning they haven't benefited
1290,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Maureen Shikami,mckib044,no,NA,NA,NA,yes,NA,NA,NA,the fishers are benefiting a lot because they have the freedom to sell their fish to brokers,the broker is negatively affected because if he lacks the market of the fish he will end up counting losses
1549,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Maureen Shikami,mckib047,no,NA,NA,NA,no,NA,NA,NA,none,none
1900,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Maureen shikami,mckib045,yes,there is proper guidelines at the beach and they help in sorting out conflicts,higher prices of obtaining license,good,yes,people have been given time to fish any time the freedom to sell your catch,they set rules and they are not available to implement the rule.,good,everyone is benefiting from buying and selling of their catch,the whole community
1150,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Maureen Shikami,mckib048,yes,putting up closures have increased the number of fish,the management has distanced its self from the community,neutral,yes,people have been given gears but no development,the management leaders are the ones benefitting,neutral,the community leader enjoy the benefits all alone,my job has not been stabilized
1680,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Mohamed Khamis,mckib049,no,NA,NA,NA,no,NA,NA,NA,the community at large cause there is an evidence from the closures that there is increase in the number of fish thus boosting the income.,none
1958,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Mohamed Khamis,mckib050,no,NA,NA,NA,yes,there is now a patrol boat and more organisation are coming in,death in the community when people are caught fishing in restricted areas,neutral,the community cause benefits are from the fishing system,none
723,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Mohamed Khamisi,mckib051,no,NA,NA,NA,no,NA,NA,NA,the fisherman is the mostly affected,none
711,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Mohamed Khamisi,mckib052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1635,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Maureen Shikami,mckib046,yes,getting not much fish because most fish are hiding and breeding in the closures,if there are problems like people invading the closures when you call them they wont come,neutral,yes,the management sets rules to bring harmony,the fishers don't invest because they have low income,neutral,fishermen getting a lot of income which are now able to maintain their families,the fishermen because the laws are always targeting them
182,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Mohamed Khamis,mckib053,no,NA,NA,neutral,no,increase in the number of fish,none,neutral,the management leaders-whatever benefits that befall them they just share between them,fishermen who use the correct methods of fishing
1902,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Mohamed Khamis,mckib054,yes,there is an increase in income,the living standards have gone down because there is scarcity of fish,neutral,no,NA,NA,bad,community- there is support from non governmental organisations,fishermen-fishing grounds have become limited
418,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Mohamed Hamis,mckib057,no,NA,NA,good,no,NA,NA,NA,the fisherman.he sells his catch at higher prices getting good profit while the fish trader is getting lower profits,none
502,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Mohamed Hamis,mckib058,no,NA,income has dwindled,bad,no,NA,exploitation of fishermen by the management,bad,the management leaders get money and use it by themselves,the fishermen don't get any benefits from the management
73,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Maureen Shikami,mcmtkng016,no,NA,NA,NA,yes,the management leaders are the ones who are bad-but rules are good to the community,the market was build but the leaders miss managed it,neutral,leaders and few related people,fishers have not been helped with fishing gears and when one gets financial stuck there is no where to run
1487,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Karisa Iha,mckib059,no,NA,NA,NA,no,NA,NA,NA,none,none
3,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Karisa Iha,mckib061,no,there is availability of fish and money,scarcity of fish and money,very_bad,no,NA,NA,NA,the whole community,none
680,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Karisa Iha,mckib062,yes,there isn't even one benefit,the living standards have gone down due to their poor management,bad,yes,we get help inform of fishing gears and the resources are taken care of,the management is not being total responsible,very_bad,few fishermen are benefiting because they are very close to the management,those fishermen who are not near the management
624,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Karisa Iha,mckib063,no,NA,NA,NA,yes,there is not even one benefit,there are no fruits of the managements,bad,a few fishermen benefiting,people who are not fishermen and their close people
688,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Karisa Iha,mckib064,no,now days you can get children's food from the catch,none,good,no,the level of income has increased,none,good,there are alot who are benefiting for the management and even some have left fishing to invest in other bussiness,women have been highly affected
1897,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Karisa Iha,mckib065,no,NA,NA,NA,yes,they care the security of our community and the beach,they segregate and they self centered,good,fishermen,not fishers
1153,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Karisa Iha,mckib066,yes,they are benefits am experiencing,their management has led to the amount of catch to go down,bad,yes,they are all benefits that the community is experiencing,the management is not responsible and destructive fishing is still going on,bad,no one has ever benefited,the fishers cause the catch is going down every day
1558,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Karisa Iha,mckib067,yes,they have tried to stop destructive fishing,there has been a lot of laxity and has led to destruction of our fishing gears and letting the living standards go down,bad,yes,no positive impacts,they have allowed destructive fishing,bad,none,the fisher and the whole community at large
1979,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Karisa Iha,mckib068,yes,there management is helpful,the worst thing is when they are given complaints no one is acting on them,good,yes,getting help in form of nets and fishing vessels,there is a lot of laxity that there is no taming of the use of the destructive gears,bad,the rich because there is a lot of laxity,the fishermen because the set rules are even not adhered
1402,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Karisa Iha,mckib069,yes,let the conservation of fish continue so that there is increase of fish,they have not taken measures for this guys who are not adhering to the set rules,very_bad,yes,there is a lot fish increase and they have managed to stop destructive fishing though not much,they have not fought the war completely well,good,management leaders are benefiting because they are self centerd,the fishermen because he has not been kept in the fore front
903,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Maureen Shikami,mcmkr001,yes,because the members have to contribute some amount for savings and when we give out loans we share the profits,sometimes when meetings are arranged they collide with other activities thus giving us hard time to work on both,good,yes,the market place has been built and boats have been bought,for example buying of ring nets which are not used because they destruct the natural resources,good,fishers-if there is any kind of destructive fishing its easier to alert the responsible guys,those who are not fishers- they don't understand how the management works
1131,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Maureen Shikami,mcmkr002,yes,being the leader i inform people with easy and i reach them with easy,boats are not enough and sometimes it takes time to get and use the boat because we fishers are many,good,yes,there boats and their full gears from the county government,we need a near market instead of us going to Mombasa to look for markets,good,fishers because they use the county boats,those who are not fishers because they don't use the given boats and gears
1078,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Maureen Shikami,mcmkr003,yes,there are machine boats that can be used,organisation cant be give us loans or help a fisher who has a personal problem,good,yes,we inform each other and we get more tourist and little help i.e building of the market,reports or surveys are done and we don't get feed back,good,those with leadership roles and fishers-there are community owned boats for them,those who dont adhere to rules and regulation like getting licences or using unwanted gears
325,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Mohamed Khamis,mcmkr004,no,we get organised set rules,none,good,no,none,people being caught in areas whereby people have been allowed to fish,good,fishers because they get good catch from the proceeds of fishing,those who don't use this beach
105,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Mohamed Khamis,mcmkr005,no,it has created conducive environment for me and led to preservation of fish breeding places,lack of support from the government,neutral,yes,it has contributed to the continuity of fish supply and prevented over fishing which leads to conservation of certain sea species,it has led the fisher communiyb to become more poor because there is no support from the government and has created enemity between the fishers community and the law enforcers,neutral,the government because they get a lot money from fish conservation places,fishers- they have solely depended on fishing and they lack sufficient fishing grounds
353,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Maureen Otieno,mcmkr006,no,not a fisher,not a fisher,NA,yes,more fish breed and shells and incresed income,reduced fishing grounds and those who used o collect shell don't get income again,very_good,fishers - cause they get good catch,dealers-more fish thus dealers have a less market
504,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Maureen Otieno,mcmkr007,yes,reducing fishing effort,reduced catch due to reduced to use of spearguns,bad,yes,more fish breed and attraction of tourism in the closed areas,not restricting destructive fishing,neutral,fishers-if the rules and regulation of the management they will benefits,none is affected
806,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Karisa Iha,mcmkr008,yes,reduction of destructive fishing,none,neutral,yes,environment has been protected and security has been installed,arguments,bad,fishers- i get benefits,those who dont fish
1401,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Karisa Iha,mcmkr009,yes,they have stopped the destruction of natural resources and it has increased the amount of benefits we get,none,good,yes,managed to bar destructive gears and more focus directed to eliminate spear gun users,none,good,fishers-the spear guns users have been drastically reduced and that's increasing our catch,none
1426,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Karisa Iha,mcmkr010,yes,we get help in form of fishing gears,none,very_good,yes,we have been given working gears and knowledge to protect our natural resources,none,good,the management leaders are the ones benefiting because they are in the fore front,fishers because of unfairness
984,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Collins Katana,mcmkr011,no,NA,NA,NA,NA,NA,NA,NA,fishers-because when the natural resources increase the catch becomes more,none
1914,Kenya,Coast,Msambweni,Mkwiro,2017-02-17,Collins Katana,mcmkr012,no,NA,NA,NA,no,NA,NA,NA,the management leaders because they are in the fore front,fishers because of the bad management
250,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Mohamed Hamisi,mcmkr013,yes,fish have increased and led to increase in income,none,neutral,no,fishers have started accepting and adhering to rules there is an increase in fish,leaders still are corrupted and let other people to fish in restricted areas,neutral,fishers-they get a lot of catch because they has been an increase in the number of fish,community-there business are stagnant because there are less number of fish
1101,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Mohamed Hamisi,mcmkr014,no,none,the standards of life has continued to worsen even i cant complete building my house,bad,yes,none,fishes has lost because of many foreign fishers and their destructive gears,neutral,fish dealers- they buy fish from fishers at an exploitative price and later sells at an exorbitant prices,fishers they are being used for a long time without benefits
1863,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Mohamed Hamisi,mcmkr015,yes,development in adhering to rules and my responsibilities,none,neutral,no,none,none,neutral,fish dealers-they buy fish from fisher and paying them becomes a problem,fishers- we use a lot of energy but all our efforts go to the riches
1770,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Maureen Shikami,mcmkr016,yes,if other fishers bring problems there is a place we can go for conflict resolution,the management would have worked hard for the women at least we could get loans which could help us invest in other bussineses,neutral,yes,they have been able to erect an office and helping to erect another office for the eco-friendly conservation group,the two offices are always welcoming visitors and donors but its only them who are beneficiary,neutral,fishers because they can use the boats which were donated by county government,women who fish because they do not care about the welfare of those women
830,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Maureen Shikami,mcmkr017,yes,most of the time i have used county governments boats and they are cheaper,the management has failed to stop destructive fishers,neutral,yes,they have bought fishing boats and nets for the fishers and they have also constructed a market place,they dont want to know where we will sell our catches and we do look for buyers by ourselves,neutral,the fishers cause they are the ones going to use the boats and nets from the county,ladies fishers who are to look for their own means of fishing like buying spears for themselves
1995,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Maureen Shikami,mcmkr018,yes,the boats and gears from county government benefit those without gears and vessels,if anyone gets financial hiccup the management cant come in and help,good,yes,if a visitors comes to the village they make sure that they have proper documents,they get money from visitors of which that money benefits them not the entire community,good,all the fishers we have been given a cold storage facility which is owned by the community,the fishers using inferior fishing gears
1011,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Collins Katana,mcmkr023,no,NA,NA,NA,no,NA,NA,NA,fisher and fish vendors because all of them are direct beneficiaries.,none
1362,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Collins Katana,mcmkr022,no,NA,NA,NA,no,NA,NA,NA,fishers and their relatives because when they go fishing and fish is in abundance they get a lot of income,none
1144,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Collins Katana,mcmkr024,yes,none,those restricted fishing grounds have a lot of fish and and we cant get access to them giving us hard time,neutral,yes,none,the fishing community finds it hard to get resources from the beach compared to before,neutral,the management leaders because they don't advise others in the issue of development,the ordinary fishers who are not leaders
247,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Shikami Maureen,mcmkr026,yes,they listen to our pleads and they work on them,they don't have plans to invest to help those in need,good,yes,they helped in building maternity ward for the women and they bring books for the children oftenly,i have not been troubled by the management when fishing,good,there was a time my husband and his fellow almost drowned because of fierce wind but the management worked very hard to rescue them,most of the times those who fish with destructive gears
